Transaction_ID,Date,Category,Amount_INR,Payment_Method,Merchant,Description,Day_of_Week,Weekend,Month
TXN00845,2026-02-17,Food,111.1,UPI,Cafe,Snacks,Tuesday,No,2026-02
TXN00961,2025-10-10,Subscriptions,130.33,UPI,Software,Cloud storage,Friday,No,2025-10
TXN00647,2026-07-14,Shopping,430.35,UPI,Flipkart,Online purchase,Tuesday,No,2026-07
TXN00248,2026-07-05,Food,243.49,Cash,Local Restaurant,Breakfast,Sunday,Yes,2026-07
TXN01129,2026-03-19,Transport,97.7,UPI,Fuel Station,Ride,Thursday,No,2026-03
TXN00987,2026-04-13,Food,3245.9,UPI,Food Delivery,Coffee,Monday,No,2026-04
TXN00144,2025-12-05,Food,207.69,Debit Card,Street Food,Snacks,Friday,No,2025-12
TXN00749,2025-10-23,Shopping,343.46,Debit Card,Clothing Store,Household item,Thursday,No,2025-10
TXN00929,2025-12-20,Shopping,97.87,Cash,Clothing Store,Online purchase,Saturday,Yes,2025-12
TXN00737,2026-02-24,Food,217.75,Net Banking,Cafe,Breakfast,Tuesday,No,2026-02
TXN01014,2025-12-10,Groceries,358.12,UPI,Local Grocery,Household supplies,Wednesday,No,2025-12
TXN00625,2026-06-28,Subscriptions,113.05,Cash,Netflix,Cloud storage,Sunday,Yes,2026-06
TXN00491,2026-04-11,Entertainment,257.23,Debit Card,Event,Movie,Saturday,Yes,2026-04
TXN00607,2026-02-21,Education,72.17,Debit Card,Book Store,Books,Saturday,Yes,2026-02
TXN00532,2025-12-14,Food,172.67,Debit Card,Food Delivery,Snacks,Sunday,Yes,2025-12
TXN00901,2026-06-01,Groceries,265.18,UPI,Supermarket,Vegetables,Monday,No,2026-06
TXN00720,2026-08-31,Groceries,139.57,Cash,Local Grocery,Household supplies,Monday,No,2026-08
TXN00032,2026-02-17,Transport,55.29,UPI,Fuel Station,Fuel,Tuesday,No,2026-02
TXN01008,2025-09-13,Food,170.87,Cash,Food Delivery,Coffee,Saturday,Yes,2025-09
TXN00484,2026-05-08,Food,175.36,UPI,Cafe,Dinner,Friday,No,2026-05
TXN01117,2026-06-19,Health,360.63,UPI,Hospital,Doctor visit,Friday,No,2026-06
TXN01095,2026-08-19,Education,138.63,Cash,Book Store,Study material,Wednesday,No,2026-08
TXN00362,2025-12-23,Food,162.38,Credit Card,Cafe,Lunch,Tuesday,No,2025-12
TXN00367,2026-02-02,Education,360.34,Cash,Learning Platform,Study material,Monday,No,2026-02
TXN00062,2025-10-20,Food,243.55,UPI,Street Food,Dinner,Monday,No,2025-10
TXN00889,2026-04-04,Groceries,445.67,UPI,Local Grocery,Vegetables,Saturday,Yes,2026-04
TXN01191,2025-09-25,Food,170.74,Debit Card,Local Restaurant,Snacks,Thursday,No,2025-09
TXN00744,2026-08-17,Bills,721.41,UPI,Water Bill,Utility payment,Monday,No,2026-08
TXN00308,2025-09-22,Education,367.85,Credit Card,Book Store,Course fee,Monday,No,2025-09
TXN00681,2026-01-22,Food,199.65,Debit Card,Local Restaurant,Snacks,Thursday,No,2026-01
TXN00850,2026-01-11,Groceries,303.23,UPI,Online Grocery,Vegetables,Sunday,Yes,2026-01
TXN00576,2025-10-22,Subscriptions,136.85,UPI,Software,Software plan,Wednesday,No,2025-10
TXN00350,2026-05-14,Education,613.34,UPI,Book Store,Course fee,Thursday,No,2026-05
TXN01102,2026-04-04,Transport,99.43,Net Banking,Cab,Ride,Saturday,Yes,2026-04
TXN00003,2026-05-29,Food,134.29,Credit Card,Cafe,Coffee,Friday,No,2026-05
TXN00557,2026-04-05,Shopping,272.22,Debit Card,Flipkart,Online purchase,Sunday,Yes,2026-04
TXN00310,2026-02-05,Groceries,347.98,UPI,Supermarket,Vegetables,Thursday,No,2026-02
TXN00965,2025-09-06,Shopping,551.21,UPI,Clothing Store,Household item,Saturday,Yes,2025-09
TXN01042,2026-06-18,Groceries,460.47,Debit Card,Local Grocery,Food supplies,Thursday,No,2026-06
TXN00345,2026-03-07,Food,273.33,UPI,Food Delivery,Snacks,Saturday,Yes,2026-03
TXN00766,2025-10-09,Bills,617.49,UPI,Water Bill,Water bill,Thursday,No,2025-10
TXN00917,2025-09-13,Subscriptions,160.47,Debit Card,Software,Monthly subscription,Saturday,Yes,2025-09
TXN00498,2025-09-16,Education,492.62,UPI,Book Store,Course fee,Tuesday,No,2025-09
TXN01118,2026-06-09,Shopping,102.53,UPI,Flipkart,Electronics,Tuesday,No,2026-06
TXN00954,2025-12-04,Education,153.01,UPI,Online Course,College expense,Thursday,No,2025-12
TXN00863,2025-12-30,Transport,64.77,UPI,Bus,Fuel,Tuesday,No,2025-12
TXN00759,2026-03-24,Food,180.32,Debit Card,Food Delivery,Dinner,Tuesday,No,2026-03
TXN00246,2026-08-18,Bills,499.55,UPI,Internet Provider,Electricity bill,Tuesday,No,2026-08
TXN00378,2026-07-03,Education,802.04,Credit Card,Learning Platform,Study material,Friday,No,2026-07
TXN00807,2026-01-11,Food,169.63,Credit Card,Street Food,Lunch,Sunday,Yes,2026-01
TXN01061,2026-01-03,Entertainment,324.74,UPI,Gaming,Movie,Saturday,Yes,2026-01
TXN00921,2025-11-06,Bills,522.71,Cash,Electricity Board,Internet bill,Thursday,No,2025-11
TXN00619,2026-08-31,Food,151.13,Credit Card,Cafe,Breakfast,Monday,No,2026-08
TXN00268,2025-10-07,Groceries,228.74,UPI,Online Grocery,Food supplies,Tuesday,No,2025-10
TXN00699,2026-08-23,Food,209.98,Debit Card,Street Food,Breakfast,Sunday,Yes,2026-08
TXN00940,2026-07-12,Groceries,230.8,Cash,Online Grocery,Supermarket,Sunday,Yes,2026-07
TXN00892,2025-09-14,Health,527.3,Credit Card,Pharmacy,Treatment,Sunday,Yes,2025-09
TXN00731,2026-06-09,Entertainment,154.35,Net Banking,Event,Streaming,Tuesday,No,2026-06
TXN00266,2026-05-12,Food,133.75,UPI,Street Food,Lunch,Tuesday,No,2026-05
TXN00444,2026-01-07,Food,121.1,Debit Card,Local Restaurant,Coffee,Wednesday,No,2026-01
TXN00825,2026-01-29,Subscriptions,297.14,UPI,Netflix,Cloud storage,Thursday,No,2026-01
TXN00605,2026-04-18,Groceries,40.34,Credit Card,Online Grocery,Household supplies,Saturday,Yes,2026-04
TXN00439,2026-04-17,Food,208.59,Debit Card,Local Restaurant,Snacks,Friday,No,2026-04
TXN00578,2026-01-22,Food,165.7,UPI,Street Food,Dinner,Thursday,No,2026-01
TXN00493,2026-01-25,Transport,113.1,UPI,Metro,Daily commute,Sunday,Yes,2026-01
TXN01104,2025-09-15,Education,417.1,UPI,College Fee,College expense,Monday,No,2025-09
TXN00632,2026-03-01,Travel,922.03,UPI,Hotel,Flight ticket,Sunday,Yes,2026-03
TXN01024,2026-04-24,Entertainment,84.83,UPI,Streaming,Event ticket,Friday,No,2026-04
TXN00132,2026-08-25,Subscriptions,171.57,Debit Card,Software,Software plan,Tuesday,No,2026-08
TXN00904,2025-09-15,Food,145.5,Credit Card,Cafe,Lunch,Monday,No,2025-09
TXN00887,2025-09-28,Bills,282.61,UPI,Internet Provider,Internet bill,Sunday,Yes,2025-09
TXN00359,2026-08-26,Travel,1138.6,Debit Card,Flight,Flight ticket,Wednesday,No,2026-08
TXN00454,2025-11-28,Education,380.88,Debit Card,Book Store,Study material,Friday,No,2025-11
TXN01010,2026-01-08,Health,211.74,UPI,Diagnostic Center,Treatment,Thursday,No,2026-01
TXN01143,2026-08-22,Bills,229.4,Cash,Internet Provider,Utility payment,Saturday,Yes,2026-08
TXN00039,2025-10-25,Food,160.81,UPI,Cafe,Breakfast,Saturday,Yes,2025-10
TXN00241,2026-01-26,Groceries,331.62,UPI,Supermarket,Household supplies,Monday,No,2026-01
TXN00436,2025-12-01,Food,171.28,Debit Card,Cafe,Dinner,Monday,No,2025-12
TXN00984,2026-07-21,Groceries,385.75,Cash,Online Grocery,Vegetables,Tuesday,No,2026-07
TXN00923,2025-12-18,Food,165.09,UPI,Street Food,Coffee,Thursday,No,2025-12
TXN01044,2026-02-12,Groceries,547.46,Credit Card,Supermarket,Food supplies,Thursday,No,2026-02
TXN00871,2025-10-31,Food,138.77,UPI,Street Food,Dinner,Friday,No,2025-10
TXN00201,2025-12-22,Entertainment,67.49,UPI,Streaming,Game,Monday,No,2025-12
TXN00661,2026-07-14,Bills,439.06,UPI,Electricity Board,Internet bill,Tuesday,No,2026-07
TXN00758,2026-02-20,Food,182.24,UPI,Food Delivery,Dinner,Friday,No,2026-02
TXN00104,2025-11-20,Groceries,395.41,Debit Card,Local Grocery,Monthly groceries,Thursday,No,2025-11
TXN00193,2025-12-05,Transport,88.21,UPI,Auto,Office/College travel,Friday,No,2025-12
TXN00451,2026-01-04,Shopping,356.85,UPI,Local Store,Accessories,Sunday,Yes,2026-01
TXN01076,2026-02-26,Travel,1034.54,Debit Card,Flight,Travel booking,Thursday,No,2026-02
TXN00130,2026-04-06,Bills,244.58,UPI,Internet Provider,Mobile recharge,Monday,No,2026-04
TXN00275,2026-03-27,Entertainment,260.05,UPI,Movie Theatre,Event ticket,Friday,No,2026-03
TXN00271,2026-04-21,Groceries,259.53,UPI,Local Grocery,Monthly groceries,Tuesday,No,2026-04
TXN00025,2026-07-11,Shopping,202.07,Net Banking,Amazon,Online purchase,Saturday,Yes,2026-07
TXN00677,2026-01-21,Health,335.3,UPI,Clinic,Pharmacy,Wednesday,No,2026-01
TXN00985,2026-06-02,Health,103.6,UPI,Pharmacy,Health checkup,Tuesday,No,2026-06
TXN00059,2025-10-05,Food,272.81,Credit Card,Cafe,Lunch,Sunday,Yes,2025-10
TXN00839,2025-10-31,Food,197.58,Debit Card,Street Food,Coffee,Friday,No,2025-10
TXN01183,2026-08-13,Subscriptions,242.67,Debit Card,Cloud Storage,Software plan,Thursday,No,2026-08
TXN01051,2026-04-25,Food,193.35,Cash,Food Delivery,Lunch,Saturday,Yes,2026-04
TXN00641,2026-01-19,Groceries,299.83,UPI,Online Grocery,Monthly groceries,Monday,No,2026-01
TXN00864,2026-04-02,Bills,544.15,UPI,Electricity Board,Utility payment,Thursday,No,2026-04
TXN00105,2026-02-10,Food,126.94,Debit Card,Cafe,Lunch,Tuesday,No,2026-02
TXN00087,2026-06-07,Transport,75.02,Debit Card,Fuel Station,Ride,Sunday,Yes,2026-06
TXN00978,2025-09-26,Groceries,350.47,UPI,Local Grocery,Monthly groceries,Friday,No,2025-09
TXN00971,2026-01-12,Education,46.24,Debit Card,Online Course,Study material,Monday,No,2026-01
TXN01005,2026-05-19,Subscriptions,256.75,UPI,Netflix,Monthly subscription,Tuesday,No,2026-05
TXN00346,2025-12-25,Subscriptions,115.64,Net Banking,Software,Monthly subscription,Thursday,No,2025-12
TXN00714,2026-06-30,Groceries,236.84,UPI,Supermarket,Monthly groceries,Tuesday,No,2026-06
TXN01093,2026-01-01,Entertainment,200.84,Cash,Streaming,Leisure,Thursday,No,2026-01
TXN00795,2026-06-13,Subscriptions,258.22,Cash,Spotify,Streaming plan,Saturday,Yes,2026-06
TXN01122,2026-01-26,Shopping,390.92,Cash,Amazon,Electronics,Monday,No,2026-01
TXN00692,2025-11-29,Health,156.66,UPI,Pharmacy,Treatment,Saturday,Yes,2025-11
TXN00422,2025-10-17,Groceries,329.77,UPI,Local Grocery,Household supplies,Friday,No,2025-10
TXN00712,2026-05-14,Health,347.25,Credit Card,Diagnostic Center,Pharmacy,Thursday,No,2026-05
TXN00732,2025-11-02,Food,260.78,UPI,Street Food,Coffee,Sunday,Yes,2025-11
TXN00213,2026-04-13,Subscriptions,5687.66,Net Banking,Cloud Storage,Music plan,Monday,No,2026-04
TXN00945,2026-06-04,Education,447.49,Debit Card,Book Store,Books,Thursday,No,2026-06
TXN00659,2026-02-07,Shopping,211.16,Credit Card,Amazon,Accessories,Saturday,Yes,2026-02
TXN01079,2025-12-20,Shopping,3850.59,Debit Card,Amazon,Electronics,Saturday,Yes,2025-12
TXN00176,2026-06-10,Subscriptions,276.16,UPI,Software,Streaming plan,Wednesday,No,2026-06
TXN00481,2026-04-10,Transport,139.78,UPI,Bus,Daily commute,Friday,No,2026-04
TXN00529,2025-12-02,Food,165.21,UPI,Local Restaurant,Snacks,Tuesday,No,2025-12
TXN00494,2025-12-05,Subscriptions,193.81,UPI,Spotify,Streaming plan,Friday,No,2025-12
TXN00733,2026-04-05,Travel,753.53,UPI,Flight,Train ticket,Sunday,Yes,2026-04
TXN00463,2025-11-15,Food,156.42,UPI,Street Food,Coffee,Saturday,Yes,2025-11
TXN00092,2026-02-04,Groceries,298.64,UPI,Supermarket,Household supplies,Wednesday,No,2026-02
TXN00997,2026-06-20,Food,245.89,UPI,Cafe,Lunch,Saturday,Yes,2026-06
TXN01068,2026-04-13,Shopping,91.33,Debit Card,Clothing Store,Online purchase,Monday,No,2026-04
TXN00982,2026-07-23,Food,183.86,UPI,Local Restaurant,Coffee,Thursday,No,2026-07
TXN00903,2026-04-15,Groceries,628.95,UPI,Local Grocery,Vegetables,Wednesday,No,2026-04
TXN01077,2025-10-12,Groceries,197.13,UPI,Supermarket,Food supplies,Sunday,Yes,2025-10
TXN00035,2026-03-09,Food,171.88,Net Banking,Local Restaurant,Coffee,Monday,No,2026-03
TXN00001,2025-12-12,Food,189.03,UPI,Cafe,Snacks,Friday,No,2025-12
TXN00486,2026-05-04,Transport,89.6,UPI,Fuel Station,Daily commute,Monday,No,2026-05
TXN00071,2025-10-14,Entertainment,226.37,UPI,Streaming,Streaming,Tuesday,No,2025-10
TXN00218,2026-04-06,Shopping,164.48,Debit Card,Flipkart,Household item,Monday,No,2026-04
TXN00844,2025-12-01,Groceries,343.91,UPI,Supermarket,Supermarket,Monday,No,2025-12
TXN01003,2026-02-25,Shopping,253.63,Debit Card,Local Store,Electronics,Wednesday,No,2026-02
TXN00421,2026-08-16,Transport,86.37,UPI,Metro,Ride,Sunday,Yes,2026-08
TXN01099,2026-06-30,Bills,437.16,UPI,,Internet bill,Tuesday,No,2026-06
TXN01176,2025-11-02,Shopping,205.8,Credit Card,Amazon,Online purchase,Sunday,Yes,2025-11
TXN00235,2026-03-20,Subscriptions,161.2,Net Banking,Cloud Storage,Streaming plan,Friday,No,2026-03
TXN00231,2026-03-17,Transport,93.09,UPI,Cab,,Tuesday,No,2026-03
TXN00739,2025-12-14,Health,147.42,Net Banking,Clinic,Health checkup,Sunday,Yes,2025-12
TXN00055,2025-10-23,Education,246.44,Cash,Book Store,Books,Thursday,No,2025-10
TXN01041,2026-06-13,Education,412.72,UPI,College Fee,Course fee,Saturday,Yes,2026-06
TXN00138,2026-02-26,Food,188.57,UPI,Cafe,Snacks,Thursday,No,2026-02
TXN00755,2025-11-17,Travel,1050.67,Debit Card,Flight,Trip expense,Monday,No,2025-11
TXN00773,2026-05-26,Entertainment,234.69,UPI,Event,Event ticket,Tuesday,No,2026-05
TXN01152,2025-10-21,Food,255.83,UPI,Local Restaurant,Snacks,Tuesday,No,2025-10
TXN00942,2026-04-17,Groceries,767.94,UPI,Online Grocery,Vegetables,Friday,No,2026-04
TXN01151,2026-06-14,Groceries,522.32,UPI,Local Grocery,Supermarket,Sunday,Yes,2026-06
TXN00030,2025-10-19,Subscriptions,162.34,Debit Card,Cloud Storage,Streaming plan,Sunday,Yes,2025-10
TXN00633,2026-02-14,Groceries,473.53,Credit Card,Online Grocery,Monthly groceries,Saturday,Yes,2026-02
TXN00322,2026-06-11,Food,164.98,Cash,Cafe,Coffee,Thursday,No,2026-06
TXN00745,2026-01-11,Subscriptions,179.61,UPI,Netflix,Streaming plan,Sunday,Yes,2026-01
TXN01059,2026-06-15,Shopping,136.1,UPI,Amazon,Clothes,Monday,No,2026-06
TXN00008,2025-12-12,Subscriptions,154.31,UPI,Netflix,Monthly subscription,Friday,No,2025-12
TXN00860,2026-06-09,Entertainment,51.47,Debit Card,Streaming,Event ticket,Tuesday,No,2026-06
TXN01016,2026-05-31,Transport,31.36,UPI,Metro,Ride,Sunday,Yes,2026-05
TXN01032,2025-10-30,Food,128.8,Credit Card,Street Food,Snacks,Thursday,No,2025-10
TXN00357,2025-10-28,Subscriptions,197.76,Cash,Spotify,Monthly subscription,Tuesday,No,2025-10
TXN00276,2026-01-09,Entertainment,126.35,Cash,Movie Theatre,Leisure,Friday,No,2026-01
TXN01034,2026-08-15,Groceries,349.09,UPI,Supermarket,Vegetables,Saturday,Yes,2026-08
TXN01074,2026-01-12,Shopping,383.67,Net Banking,Local Store,Accessories,Monday,No,2026-01
TXN01137,2025-12-13,Transport,131.89,UPI,Bus,Office/College travel,Saturday,Yes,2025-12
TXN00227,2026-06-21,Transport,119.35,Debit Card,Fuel Station,Public transport,Sunday,Yes,2026-06
TXN00107,2026-05-19,Food,159.09,Cash,Cafe,Lunch,Tuesday,No,2026-05
TXN00465,2026-01-22,Education,168.41,Debit Card,Learning Platform,Study material,Thursday,No,2026-01
TXN00404,2026-08-08,Groceries,470.74,UPI,Local Grocery,Supermarket,Saturday,Yes,2026-08
TXN00306,2025-10-03,Groceries,389.22,UPI,Online Grocery,Food supplies,Friday,No,2025-10
TXN00507,2026-02-10,Shopping,199.02,UPI,Local Store,Clothes,Tuesday,No,2026-02
TXN00259,2026-05-10,Groceries,345.35,UPI,Online Grocery,Food supplies,Sunday,Yes,2026-05
TXN00774,2025-10-24,Transport,62.19,UPI,Cab,Public transport,Friday,No,2025-10
TXN00829,2025-09-08,Food,216.51,Cash,Cafe,Coffee,Monday,No,2025-09
TXN00363,2026-06-15,Food,192.11,Net Banking,Cafe,Snacks,Monday,No,2026-06
TXN00258,2026-05-21,Food,184.89,UPI,Street Food,Dinner,Thursday,No,2026-05
TXN00393,2026-04-03,Food,209.52,Credit Card,Cafe,Dinner,Friday,No,2026-04
TXN00412,2026-05-22,Bills,555.77,Credit Card,Water Bill,Electricity bill,Friday,No,2026-05
TXN00280,2026-02-08,Food,191.71,UPI,Local Restaurant,Dinner,Sunday,Yes,2026-02
TXN00875,2026-05-15,Food,210.69,Net Banking,Food Delivery,Lunch,Friday,No,2026-05
TXN00429,2025-12-15,Health,305.7,Cash,Hospital,Pharmacy,Monday,No,2025-12
TXN00922,2026-04-21,Groceries,485.55,Net Banking,Local Grocery,Monthly groceries,Tuesday,No,2026-04
TXN00907,2025-09-28,Food,162.58,UPI,Food Delivery,Snacks,Sunday,Yes,2025-09
TXN00776,2026-04-10,Education,341.8,Debit Card,Learning Platform,Course fee,Friday,No,2026-04
TXN00540,2026-02-11,Entertainment,164.72,UPI,Event,Movie,Wednesday,No,2026-02
TXN00948,2025-12-21,Health,298.89,Credit Card,Hospital,Pharmacy,Sunday,Yes,2025-12
TXN00786,2025-11-14,Education,545.4,UPI,Book Store,Study material,Friday,No,2025-11
TXN00184,2026-07-15,Subscriptions,67.86,UPI,Cloud Storage,Streaming plan,Wednesday,No,2026-07
TXN00244,2026-01-25,Groceries,259.0,UPI,Local Grocery,Supermarket,Sunday,Yes,2026-01
TXN00209,2026-04-08,Groceries,394.68,Cash,Online Grocery,Vegetables,Wednesday,No,2026-04
TXN00043,2026-07-04,Food,221.37,UPI,Food Delivery,Snacks,Saturday,Yes,2026-07
TXN00545,2025-12-08,Education,303.59,Credit Card,Online Course,Books,Monday,No,2025-12
TXN00998,2026-01-17,Transport,144.89,UPI,Cab,Fuel,Saturday,Yes,2026-01
TXN00920,2025-11-07,Entertainment,207.2,UPI,Event,Leisure,Friday,No,2025-11
TXN00980,2026-06-27,Shopping,370.91,UPI,Clothing Store,Accessories,Saturday,Yes,2026-06
TXN01088,2026-03-15,Bills,198.15,UPI,Water Bill,Electricity bill,Sunday,Yes,2026-03
TXN00264,2025-09-02,Subscriptions,186.5,UPI,Cloud Storage,Music plan,Tuesday,No,2025-09
TXN01055,2026-07-25,Entertainment,316.0,UPI,Event,Movie,Saturday,Yes,2026-07
TXN01185,2026-01-06,Shopping,290.38,Net Banking,Amazon,Electronics,Tuesday,No,2026-01
TXN00089,2026-05-10,Health,329.28,Debit Card,Clinic,Doctor visit,Sunday,Yes,2026-05
TXN00330,2025-09-17,Transport,115.0,UPI,Auto,Ride,Wednesday,No,2025-09
TXN00405,2026-07-02,Groceries,483.44,Credit Card,Supermarket,Food supplies,Thursday,No,2026-07
TXN00637,2025-09-19,Groceries,288.86,Cash,Online Grocery,Vegetables,Friday,No,2025-09
TXN01025,2026-07-31,Subscriptions,136.3,Debit Card,Netflix,Music plan,Friday,No,2026-07
TXN00663,2026-01-27,Food,268.94,Credit Card,Street Food,Coffee,Tuesday,No,2026-01
TXN01144,2026-07-21,Bills,686.7,Debit Card,Electricity Board,Mobile recharge,Tuesday,No,2026-07
TXN00893,2026-03-06,Entertainment,117.12,Debit Card,Event,Game,Friday,No,2026-03
TXN00073,2026-03-21,Health,245.27,UPI,Pharmacy,Treatment,Saturday,Yes,2026-03
TXN00630,2026-06-02,Groceries,349.9,Cash,Online Grocery,Monthly groceries,Tuesday,No,2026-06
TXN00136,2026-08-12,Transport,106.83,UPI,Bus,Office/College travel,Wednesday,No,2026-08
TXN00321,2025-12-06,Groceries,447.57,Credit Card,Online Grocery,Monthly groceries,Saturday,Yes,2025-12
TXN00480,2026-05-12,Food,188.71,UPI,Local Restaurant,Breakfast,Tuesday,No,2026-05
TXN01196,2026-02-24,Shopping,225.81,Debit Card,Amazon,Electronics,Tuesday,No,2026-02
TXN00861,2026-05-07,Subscriptions,302.47,Credit Card,Spotify,Monthly subscription,Thursday,No,2026-05
TXN00157,2025-11-25,Subscriptions,106.24,UPI,Software,Streaming plan,Tuesday,No,2025-11
TXN00240,2026-05-17,Subscriptions,110.9,UPI,Software,Streaming plan,Sunday,Yes,2026-05
TXN00248,2026-07-05,Food,243.49,Cash,Local Restaurant,Breakfast,Sunday,Yes,2026-07
TXN00100,2026-01-07,Entertainment,145.47,UPI,Gaming,Movie,Wednesday,No,2026-01
TXN00655,2026-01-12,Health,62.55,Cash,Hospital,Treatment,Monday,No,2026-01
TXN00499,2026-06-07,Food,173.72,Debit Card,Food Delivery,Snacks,Sunday,Yes,2026-06
TXN00018,2026-07-06,Bills,790.35,Cash,Water Bill,Electricity bill,Monday,No,2026-07
TXN01136,2026-01-19,Subscriptions,33.0,UPI,Software,Streaming plan,Monday,No,2026-01
TXN00900,2026-04-27,Shopping,343.15,UPI,Local Store,Accessories,Monday,No,2026-04
TXN00908,2026-03-21,Transport,108.41,Credit Card,Cab,Public transport,Saturday,Yes,2026-03
TXN01085,2025-12-06,Groceries,414.85,UPI,Online Grocery,Household supplies,Saturday,Yes,2025-12
TXN00217,2026-02-19,Groceries,305.33,Debit Card,Online Grocery,Vegetables,Thursday,No,2026-02
TXN00134,2026-03-26,Food,218.13,UPI,Local Restaurant,Coffee,Thursday,No,2026-03
TXN00788,2026-03-11,Entertainment,43.41,Net Banking,Streaming,Game,Wednesday,No,2026-03
TXN00556,2026-06-06,Groceries,269.7,Net Banking,Local Grocery,Household supplies,Saturday,Yes,2026-06
TXN01157,2026-05-25,Subscriptions,156.54,Credit Card,Cloud Storage,Music plan,Monday,No,2026-05
TXN00488,2025-12-09,Groceries,331.2,UPI,Online Grocery,Supermarket,Tuesday,No,2025-12
TXN00269,2026-02-07,Education,455.11,UPI,Learning Platform,Certification,Saturday,Yes,2026-02
TXN01002,2026-02-08,Shopping,306.7,UPI,Clothing Store,Clothes,Sunday,Yes,2026-02
TXN00873,2025-09-26,Groceries,340.6,Debit Card,Supermarket,Household supplies,Friday,No,2025-09
TXN00109,2025-10-11,Groceries,389.66,Credit Card,Supermarket,Supermarket,Saturday,Yes,2025-10
TXN00174,2026-03-09,Food,97.62,UPI,Food Delivery,Breakfast,Monday,No,2026-03
TXN01071,2025-12-13,Transport,78.23,UPI,Bus,Ride,Saturday,Yes,2025-12
TXN00460,2026-06-05,Education,30.0,Cash,Book Store,Course fee,Friday,No,2026-06
TXN01106,2026-01-14,Bills,476.91,Debit Card,Water Bill,Electricity bill,Wednesday,No,2026-01
TXN01147,2026-07-25,Travel,1105.16,Credit Card,Train,Flight ticket,Saturday,Yes,2026-07
TXN00047,2026-02-14,Education,228.43,Net Banking,Book Store,Certification,Saturday,Yes,2026-02
TXN00034,2026-05-29,Shopping,250.66,Credit Card,Amazon,Household item,Friday,No,2026-05
TXN00386,2026-05-22,Health,231.65,UPI,Hospital,Pharmacy,Friday,No,2026-05
TXN00821,2025-10-13,Health,126.17,Credit Card,Pharmacy,Health checkup,Monday,No,2025-10
TXN00518,2026-06-12,Shopping,131.38,UPI,Amazon,Electronics,Friday,No,2026-06
TXN00657,2025-10-14,Health,221.86,Net Banking,Diagnostic Center,Treatment,Tuesday,No,2025-10
TXN00609,2026-02-15,Subscriptions,149.95,UPI,Netflix,Monthly subscription,Sunday,Yes,2026-02
TXN00123,2026-04-02,Transport,132.22,Credit Card,Fuel Station,Fuel,Thursday,No,2026-04
TXN00279,2025-12-29,Transport,120.1,Credit Card,Fuel Station,Office/College travel,Monday,No,2025-12
TXN00167,2025-10-14,Education,456.03,UPI,College Fee,Books,Tuesday,No,2025-10
TXN01098,2026-02-06,Groceries,130.93,Debit Card,Online Grocery,Vegetables,Friday,No,2026-02
TXN00495,2026-05-15,Subscriptions,136.76,Debit Card,Netflix,Music plan,Friday,No,2026-05
TXN00459,2025-11-08,Health,216.68,Debit Card,Clinic,Health checkup,Saturday,Yes,2025-11
TXN00694,2026-03-05,Transport,111.2,Debit Card,Bus,Fuel,Thursday,No,2026-03
TXN00778,2026-07-10,Education,322.94,Cash,College Fee,Certification,Friday,No,2026-07
TXN00858,2026-06-28,Food,217.17,UPI,Street Food,Dinner,Sunday,Yes,2026-06
TXN00506,2026-02-25,Shopping,113.51,Debit Card,Clothing Store,Accessories,Wednesday,No,2026-02
TXN01101,2026-08-31,Food,210.56,UPI,Food Delivery,Snacks,Monday,No,2026-08
